id,name,city,latitude,longitude,dpcapacity,online_date,
80,Aberdeen St & Monroe St,Chicago,41.880419,-87.655519,19,6/26/2013 19:00,
81,Daley Center Plaza,Chicago,41.884241,-87.629634,39,6/26/2013 19:02,
84,Milwaukee Ave & Grand Ave,Chicago,41.891578,-87.648384,19,6/26/2013 19:14,
85,Michigan Ave & Oak St,Chicago,41.90096039,-87.62377664,23,6/26/2013 19:18,
86,Eckhart Park,Chicago,41.89637337,-87.66098386,19,6/26/2013 19:32,
87,Racine Ave & Fullerton Ave,Chicago,41.92556258,-87.65840426,19,6/26/2013 19:36,
88,Racine Ave & Randolph St,Chicago,41.884069,-87.656853,19,6/26/2013 19:44,
89,Financial Pl & Congress Pkwy,Chicago,41.87500913,-87.63310582,31,6/26/2013 19:47,
90,Millennium Park,Chicago,41.8810317,-87.62408432,47,6/26/2013 19:51,
91,Clinton St & Washington Blvd,Chicago,41.88338,-87.64117,31,6/26/2013 23:39,
92,Carpenter St & Huron St,Chicago,41.894556,-87.653449,19,6/27/2013 8:58,
93,Sheffield Ave & Willow St,Chicago,41.913688,-87.652855,15,6/27/2013 11:41,
94,Clark St & Armitage Ave,Chicago,41.918306,-87.636282,31,6/27/2013 12:33,
95,Stony Island Ave & 64th St,Chicago,41.77870057,-87.58678762,15,6/27/2013 13:58,
96,Desplaines St & Randolph St,Chicago,41.88461619,-87.64457058,23,6/28/2013 10:47,
97,Field Museum,Chicago,41.865312,-87.617867,55,6/30/2013 13:25,
98,LaSalle St & Washington St,Chicago,41.882664,-87.63253,15,7/15/2013 14:41,
99,Lake Shore Dr & Ohio St,Chicago,41.89257,-87.614492,19,7/15/2013 15:12,
100,Orleans St & Merchandise Mart Plaza,Chicago,41.888243,-87.63639,35,7/15/2013 17:26,
101,63rd St Beach,Chicago,41.78101637,-87.57611976,23,7/16/2013 1:27,
102,Stony Island Ave & 67th St,Chicago,41.7734585,-87.58533974,11,7/16/2013 1:28,
103,Clinton St & Polk St (*),Chicago,41.87146652,-87.64094913,16,7/18/2013 15:51,
106,State St & Pearson St,Chicago,41.897448,-87.628722,27,7/18/2013 15:59,
107,Desplaines St & Jackson Blvd,Chicago,41.878287,-87.643909,27,7/18/2013 16:39,
108,Halsted St & Polk St,Chicago,41.87184,-87.64664,19,7/18/2013 16:41,
109,900 W Harrison St,Chicago,41.874754,-87.649807,19,7/18/2013 16:45,
110,Dearborn St & Erie St,Chicago,41.893992,-87.629318,23,7/18/2013 16:46,
111,Sedgwick St & Huron St,Chicago,41.894666,-87.638437,19,7/18/2013 16:52,
112,Green St & Randolph St,Chicago ,41.883668,-87.64867,15,7/18/2013 17:00,
113,Bissell St & Armitage Ave,Chicago ,41.91844,-87.65222,15,7/18/2013 17:09,
114,Sheffield Ave & Waveland Ave,Chicago,41.949399,-87.654529,27,7/18/2013 17:17,
115,Sheffield Ave & Wellington Ave,Chicago,41.936266,-87.652662,23,7/18/2013 17:18,
116,Western Ave & Winnebago Ave,Chicago,41.91552,-87.687022,15,7/18/2013 17:19,
117,Wilton Ave & Belmont Ave,Chicago,41.94018,-87.65304,23,7/18/2013 17:20,
118,Sedgwick St & North Ave,Chicago,41.911386,-87.638677,19,7/18/2013 17:20,
119,Ashland Ave & Lake St,Chicago,41.88541,-87.66732,19,7/18/2013 17:21,
120,Wentworth Ave & Archer Ave,Chicago,41.853605,-87.631886,23,7/18/2013 17:21,
121,Blackstone Ave & Hyde Park Blvd,Chicago,41.802562,-87.590368,19,7/18/2013 17:22,
122,Ogden Ave & Congress Pkwy,Chicago,41.87501,-87.67328,15,7/18/2013 17:23,
123,California Ave & Milwaukee Ave,Chicago,41.922695,-87.697153,15,7/18/2013 17:23,
124,Damen Ave & Cullerton St,Chicago,41.855048,-87.675726,15,7/18/2013 17:24,
125,Rush St & Hubbard St,Chicago,41.890173,-87.626185,23,7/18/2013 17:53,
126,Clark St & North Ave,Chicago ,41.911974,-87.631942,15,7/18/2013 17:54,
127,Lincoln Ave & Fullerton Ave,Chicago ,41.925905,-87.64926,15,7/18/2013 17:55,
128,Damen Ave & Chicago Ave,Chicago,41.895769,-87.67722,19,7/18/2013 17:55,
129,Blue Island Ave & 18th St,Chicago ,41.857556,-87.661535,15,7/18/2013 17:56,
130,Damen Ave & Division St,Chicago ,41.903266,-87.678435,15,7/18/2013 17:57,
131,Lincoln Ave & Belmont Ave,Chicago ,41.939365,-87.668385,15,7/18/2013 17:57,
132,Wentworth Ave & 24th St,Chicago ,41.849237,-87.631715,15,7/18/2013 17:58,
133,Kingsbury St & Kinzie St,Chicago,41.88917683,-87.63850577,31,7/18/2013 22:47,
134,Peoria St & Jackson Blvd,Chicago,41.877749,-87.649633,19,7/18/2013 22:48,
135,Halsted St & 21st St,Chicago,41.85378,-87.64665,11,7/18/2013 22:49,
136,Racine Ave & 13th St,Chicago ,41.865054,-87.656959,15,7/18/2013 22:52,
137,Morgan Ave & 14th Pl,Chicago ,41.862378,-87.651062,15,7/18/2013 22:54,
138,Clybourn Ave & Division St,Chicago ,41.904613,-87.640552,15,7/18/2013 22:55,
140,Dearborn Pkwy & Delaware Pl,Chicago ,41.898969,-87.629912,19,7/18/2013 22:56,
141,Clark St & Lincoln Ave,Chicago ,41.915689,-87.6346,23,7/18/2013 22:57,
142,McClurg Ct & Erie St,Chicago ,41.894503,-87.617854,31,7/18/2013 22:58,
143,Sedgwick St & Webster Ave,Chicago ,41.922167,-87.638888,15,7/19/2013 9:19,
144,Larrabee St & Webster Ave,Chicago ,41.921822,-87.64414,19,7/19/2013 9:20,
145,Mies van der Rohe Way & Chestnut St,Chicago,41.89858665,-87.62191523,19,7/19/2013 9:20,
146,Loomis St & Jackson Blvd,Chicago ,41.877945,-87.662007,11,7/19/2013 9:21,
147,Indiana Ave & 26th St,Chicago ,41.845687,-87.622481,15,7/19/2013 9:22,
148,State St & 33rd St,Chicago ,41.834734,-87.625813,15,7/19/2013 9:22,
149,Calumet Ave & 33rd St,Chicago ,41.8349,-87.61793,11,7/19/2013 9:23,
150,Fort Dearborn Dr & 31st St,Chicago ,41.838556,-87.608218,27,7/19/2013 9:23,
152,Lincoln Ave & Diversey Pkwy,Chicago ,41.932225,-87.658617,15,7/19/2013 9:25,
153,Southport Ave & Wellington Ave,Chicago ,41.935733,-87.663576,19,7/19/2013 9:34,
154,Southport Ave & Belmont Ave,Chicago ,41.93949,-87.66378,15,7/19/2013 9:34,
156,Clark St & Wellington Ave,Chicago ,41.93649682,-87.64753866,15,7/19/2013 9:35,
157,Lake Shore Dr & Wellington Ave,Chicago ,41.936669,-87.636794,15,7/19/2013 9:36,
158,Milwaukee Ave & Wabansia Ave,Chicago ,41.912616,-87.681391,15,7/19/2013 9:40,
159,Claremont Ave & Hirsch St,Chicago,41.907781,-87.685854,11,7/19/2013 9:56,
160,Campbell Ave & North Ave,Chicago,41.910535,-87.689556,15,7/19/2013 9:57,
161,Rush St & Superior St,Chicago,41.89576475,-87.62590803,23,7/19/2013 10:00,
162,Damen Ave & Wellington Ave,Chicago,41.93588,-87.67842,15,7/19/2013 10:02,
163,Damen Ave & Clybourn Ave,Chicago,41.931931,-87.677856,15,7/19/2013 10:02,
164,Franklin St & Lake St,Chicago,41.885837,-87.6355,27,7/19/2013 10:03,
165,Clark St & Grace St,Chicago,41.95078,-87.659172,19,7/19/2013 10:03,
166,Ashland Ave & Wrightwood Ave,Chicago ,41.92883,-87.668507,15,7/19/2013 10:07,
167,Damen Ave & Coulter St,Chicago ,41.8492,-87.67564,11,7/19/2013 10:08,
168,Michigan Ave & 14th St,Chicago ,41.864059,-87.623727,19,7/19/2013 10:08,
169,Canal St & Harrison St,Chicago ,41.874255,-87.639573,15,7/19/2013 10:09,
170,Clinton St & 18th St,Chicago,41.85795,-87.640826,15,7/19/2013 11:04,
171,May St & Cullerton St,Chicago ,41.855136,-87.654127,11,7/19/2013 11:05,
172,Rush St & Cedar St,Chicago,41.9023087,-87.62769053,11,7/19/2013 11:05,
173,Mies van der Rohe Way & Chicago Ave,Chicago ,41.89691,-87.621743,15,7/19/2013 11:07,
174,Canal St & Madison St,Chicago ,41.882091,-87.639833,35,7/19/2013 11:07,
175,Wells St & Polk St,Chicago ,41.872596,-87.633502,19,7/19/2013 11:08,
176,Clark St & Elm St,Chicago ,41.902973,-87.63128,27,7/19/2013 11:08,
177,Theater on the Lake,Chicago ,41.926277,-87.630834,23,7/19/2013 11:09,
178,State St & 19th St,Chicago ,41.856594,-87.627542,15,7/19/2013 11:10,
179,MLK Jr Dr & Oakwood Blvd,Chicago,41.82256,-87.61615,15,7/19/2013 11:12,
180,Ritchie Ct & Banks St,Chicago,41.906866,-87.626217,15,7/19/2013 11:14,
181,LaSalle St & Illinois St,Chicago,41.890762,-87.631697,31,7/19/2013 11:15,
182,Wells St & Elm St,Chicago,41.903222,-87.634324,23,7/20/2013 12:38,
183,Damen Ave & Augusta Blvd,Chicago,41.899113,-87.677212,23,7/20/2013 17:09,
184,State St & 35th St,Chicago,41.83104,-87.62688,19,7/21/2013 7:52,
185,Stave St & Armitage Ave,Chicago,41.917741,-87.691392,11,7/26/2013 10:32,
186,Ogden Ave & Race Ave,Chicago,41.891795,-87.658751,15,7/27/2013 13:03,
188,Greenview Ave & Fullerton Ave,Chicago,41.92533,-87.6658,15,7/28/2013 14:35,
190,Southport Ave & Wrightwood Ave,Chicago,41.928773,-87.663913,15,8/5/2013 9:36,
191,Canal St & Monroe St (*),Chicago,41.880884,-87.639525,28,8/6/2013 13:14,
192,Canal St & Adams St,Chicago,41.879255,-87.639904,47,8/6/2013 13:27,
193,State St & 29th St,Chicago,41.841707,-87.626938,15,8/6/2013 14:08,
194,Wabash Ave & Wacker Pl,Chicago,41.886875,-87.62603,19,8/7/2013 14:01,
195,Columbus Dr & Randolph St,Chicago,41.884728,-87.619521,47,8/7/2013 14:11,
196,Cityfront Plaza Dr & Pioneer Ct,Chicago,41.890573,-87.622072,23,8/7/2013 16:23,
197,Michigan Ave & Madison St,Chicago,41.882134,-87.625125,19,8/8/2013 11:27,
198,Green St & Madison St,Chicago,41.881892,-87.648789,19,8/8/2013 11:47,
199,Wabash Ave & Grand Ave,Chicago,41.891466,-87.626761,31,8/8/2013 12:26,
200,MLK Jr Dr & 47th St,Chicago,41.809851,-87.616279,11,8/10/2013 15:31,
201,Indiana Ave & 40th St,Chicago,41.82168,-87.6216,15,8/10/2013 15:47,
202,Halsted St & 18th St,Chicago,41.857499,-87.646277,15,8/12/2013 17:23,
203,Western Ave & 21st St,Chicago,41.854109,-87.685838,15,8/13/2013 11:55,
204,Prairie Ave & Garfield Blvd,Chicago,41.794853,-87.618691,11,8/13/2013 15:14,
205,Paulina St & 18th St,Chicago,41.857901,-87.668745,15,8/13/2013 16:01,
206,Halsted St & Archer Ave,Chicago,41.847203,-87.646795,15,8/14/2013 8:53,
207,Emerald Ave & 28th St,Chicago,41.84358,-87.645368,15,8/14/2013 10:26,
208,Ashland Ave & 21st St,Chicago,41.85381,-87.665897,15,8/14/2013 13:01,
209,Normal Ave & Archer Ave,Chicago,41.849527,-87.640591,11,8/14/2013 13:18,
210,Ashland Ave & Division St,Chicago,41.90345,-87.667747,19,8/14/2013 16:30,
211,St. Clair St & Erie St,Chicago,41.894448,-87.622663,19,8/14/2013 16:32,
212,Orleans St & Ohio St,Chicago,41.892154,-87.636928,23,8/14/2013 17:16,
213,Leavitt St & North Ave,Chicago,41.910153,-87.68229,15,8/15/2013 11:42,
214,Damen Ave & Grand Ave,Chicago,41.89122,-87.67686,23,8/15/2013 11:46,
215,Damen Ave & Madison St,Chicago,41.88137,-87.67493,15,8/15/2013 14:08,
216,California Ave & Division St,Chicago,41.903029,-87.697474,15,8/15/2013 14:13,
217,Racine Ave (May St) & Fulton St,Chicago,41.886926,-87.656919,15,8/15/2013 15:14,
218,Wells St & 19th St,Chicago,41.856802,-87.633879,11,8/15/2013 16:21,
219,Damen Ave & Cortland St,Chicago,41.916027,-87.677411,19,8/16/2013 11:54,
220,Hampden Ct & Diversey Pkwy,Chicago,41.93262,-87.642385,23,8/16/2013 11:58,
222,Milwaukee Ave & Rockwell St,Chicago,41.920195,-87.693033,19,8/16/2013 15:04,
223,Clifton Ave & Armitage Ave,Chicago,41.918216,-87.656936,15,8/16/2013 16:07,
224,Halsted St & Willow St,Chicago,41.913778,-87.64884,19,8/16/2013 17:25,
225,Halsted St & Dickens Ave,Chicago,41.919936,-87.64883,15,8/19/2013 9:23,
226,Racine Ave & Belmont Ave,Chicago,41.939743,-87.658865,15,8/19/2013 9:29,
227,Southport Ave & Waveland Ave,Chicago,41.94815,-87.66394,23,8/19/2013 13:15,
228,Damen Ave & Melrose Ave,Chicago,41.9406,-87.6785,15,8/19/2013 15:50,
229,Southport Ave & Roscoe St,Chicago,41.943739,-87.66402,19,8/19/2013 16:10,
230,Lincoln Ave & Roscoe St,Chicago,41.94334,-87.67097,19,8/19/2013 17:20,
231,Sheridan Rd & Montrose Ave,Chicago,41.96167,-87.65464,23,8/20/2013 10:12,
232,Pine Grove Ave & Waveland Ave,Chicago,41.949275,-87.646303,23,8/20/2013 11:09,
233,Sangamon St & Washington Blvd (*),Chicago,41.883004,-87.651148,16,8/20/2013 11:46,
234,Clark St & Montrose Ave,Chicago,41.961588,-87.666036,19,8/20/2013 14:21,
236,Sedgwick St & Schiller St,Chicago,41.905664,-87.638517,15,8/20/2013 16:12,
237,MLK Jr Dr & 29th St,Chicago,41.842052,-87.617,15,8/20/2013 16:56,
238,Ravenswood Ave & Montrose Ave (*),Chicago,41.961615,-87.674365,16,8/21/2013 9:51,
239,Western Ave & Leland Ave,Chicago,41.966555,-87.688487,19,8/21/2013 10:50,
240,Sheridan Rd & Irving Park Rd,Chicago,41.954245,-87.654406,27,8/21/2013 11:07,
241,Morgan St & Polk St,Chicago ,41.871737,-87.65103,19,8/21/2013 11:57,
242,Damen Ave & Leland Ave,Chicago ,41.967094,-87.679028,15,8/21/2013 16:08,
243,Lincoln Ave & Leavitt St,Chicago ,41.962391,-87.684146,15,8/21/2013 16:45,
244,Ravenswood Ave & Irving Park Rd,Chicago,41.95469,-87.67393,19,8/22/2013 9:49,
245,Clarendon Ave & Junior Ter,Chicago,41.961004,-87.649603,23,8/22/2013 11:01,
246,Ashland Ave & Belle Plaine Ave,Chicago,41.956061,-87.668869,11,8/22/2013 12:47,
247,Shore Dr & 55th St,Chicago,41.795212,-87.580715,19,8/22/2013 12:50,
248,Woodlawn Ave & 55th St,Chicago,41.795264,-87.596471,19,8/22/2013 14:31,
249,Montrose Harbor,Chicago,41.963982,-87.638181,31,8/22/2013 17:09,
250,Ashland Ave & Wellington Ave,Chicago,41.936083,-87.669807,19,8/23/2013 9:09,
251,Clarendon Ave & Leland Ave,Chicago,41.967968,-87.650001,15,8/26/2013 11:52,
252,Greenwood Ave & 47th St,Chicago,41.809835,-87.599383,15,8/26/2013 14:33,
253,Clifton Ave & Lawrence Ave,Chicago,41.968812,-87.657659,15,8/31/2013 8:58,
254,Pine Grove Ave & Irving Park Rd,Chicago,41.954383,-87.648043,15,8/31/2013 9:03,
255,Indiana Ave & Roosevelt Rd,Chicago,41.867888,-87.623041,39,8/31/2013 10:38,
256,Broadway & Sheridan Rd,Chicago,41.952833,-87.649993,15,8/31/2013 11:54,
257,Lincoln Ave & Waveland Ave,Chicago,41.948797,-87.675278,15,8/31/2013 12:17,
258,Logan Blvd & Elston Ave,Chicago,41.930584,-87.685126,19,8/31/2013 14:15,
259,California Ave & Francis Pl,Chicago,41.918121,-87.696972,15,9/3/2013 9:39,
260,Kedzie Ave & Milwaukee Ave,Chicago,41.929567,-87.707857,27,9/3/2013 12:41,
261,Hermitage Ave & Polk St,Chicago,41.871514,-87.669886,15,9/3/2013 13:15,
262,Halsted St & 37th St,Chicago,41.827059,-87.64572,11,9/3/2013 13:18,
263,Rhodes Ave & 32nd St,Chicago,41.836208,-87.613533,11,9/3/2013 13:47,
264,Stetson Ave & South Water St,Chicago,41.886835,-87.62232,19,9/3/2013 15:12,
265,Cottage Grove Ave & Oakwood Blvd,Chicago,41.822985,-87.6071,15,9/3/2013 17:01,
267,Lake Park Ave & 47th St,Chicago,41.809443,-87.591875,15,9/4/2013 15:57,
268,Lake Shore Dr & North Blvd,Chicago,41.911722,-87.626804,39,9/5/2013 9:48,
270,Stony Island Ave & 75th St,Chicago,41.75866967,-87.58688287,11,9/5/2013 14:16,
271,Cottage Grove Ave & 43rd St,Chicago,41.816499,-87.606582,11,9/9/2013 16:33,
272,Indiana Ave & 31st St,Chicago,41.838842,-87.621857,11,9/9/2013 16:51,
273,Michigan Ave & 18th St,Chicago,41.857813,-87.62455,23,9/10/2013 9:13,
274,Racine Ave & 15th St,Chicago,41.861267,-87.656625,15,9/10/2013 10:45,
275,Ashland Ave & 13th St,Chicago,41.865234,-87.666507,15,9/10/2013 12:20,
276,California Ave & North Ave,Chicago,41.91044,-87.6972,11,9/10/2013 14:24,
277,Ashland Ave & Grand Ave,Chicago,41.891072,-87.666611,15,9/10/2013 14:57,
278,Wallace St & 35th St,Chicago,41.830629,-87.64129,15,9/10/2013 15:57,
279,Halsted St & 35th St (*),Chicago,41.830661,-87.647172,16,9/11/2013 9:17,
280,Morgan St & 31st St,Chicago,41.8378,-87.65114,11,9/11/2013 11:50,
281,Western Ave & 24th St,Chicago,41.84847,-87.685109,11,9/11/2013 12:09,
282,Halsted St & Maxwell St,Chicago,41.864883,-87.647071,15,9/11/2013 14:02,
283,LaSalle St & Jackson Blvd,Chicago,41.87817,-87.631985,35,9/11/2013 15:53,
284,Michigan Ave & Jackson Blvd,Chicago,41.87785,-87.62408,23,9/12/2013 9:21,
285,Wood St & Hubbard St,Chicago,41.889587,-87.671956,19,9/12/2013 10:22,
286,Franklin St & Quincy St,Chicago,41.878724,-87.634793,23,9/12/2013 12:08,
287,Franklin St & Monroe St,Chicago,41.880317,-87.635185,27,9/12/2013 14:19,
288,Larrabee St & Armitage Ave,Chicago,41.918084,-87.643749,11,9/12/2013 15:23,
289,Wells St & Concord Ln,Chicago,41.912133,-87.634656,19,9/13/2013 9:46,
290,Kedzie Ave & Palmer Ct,Chicago,41.921525,-87.707322,15,9/13/2013 10:50,
291,Wells St & Evergreen Ave,Chicago,41.906724,-87.63483,19,9/13/2013 12:11,
292,Southport Ave & Clark St,Chicago,41.957081,-87.664199,11,9/13/2013 14:55,
293,Broadway & Wilson Ave,Chicago,41.965221,-87.658139,15,9/17/2013 14:59,
294,Broadway & Berwyn Ave,Chicago,41.978353,-87.659753,15,9/17/2013 15:42,
295,Broadway & Argyle St,Chicago,41.973815,-87.65966,15,9/17/2013 17:38,
296,Broadway & Belmont Ave,Chicago,41.940106,-87.645451,19,9/17/2013 17:48,
297,Paulina St & Montrose Ave,Chicago,41.961507,-87.671387,15,9/18/2013 11:00,
298,Lincoln Ave & Belle Plaine Ave,Chicago,41.955927,-87.679259,15,9/18/2013 11:51,
299,Halsted St & Roscoe St,Chicago,41.94367,-87.64895,15,9/18/2013 14:50,
300,Broadway & Barry Ave,Chicago,41.937725,-87.644095,19,9/18/2013 15:13,
301,Clark St & Schiller St,Chicago,41.907993,-87.631501,19,9/18/2013 16:18,
302,Sheffield Ave & Wrightwood Ave,Chicago,41.928712,-87.653833,19,9/18/2013 16:55,
303,Broadway & Cornelia Ave,Chicago,41.945529,-87.646439,23,9/19/2013 9:39,
304,Broadway & Waveland Ave,Chicago,41.949074,-87.648636,15,9/19/2013 12:10,
305,Western Ave & Division St,Chicago,41.902893,-87.687275,15,9/19/2013 12:55,
306,Sheridan Rd & Buena Ave,Chicago,41.958494,-87.654966,19,9/19/2013 15:36,
307,Southport Ave & Clybourn Ave,Chicago,41.920771,-87.663712,15,9/19/2013 16:30,
308,Seeley Ave & Roscoe St,Chicago,41.943403,-87.679618,11,9/19/2013 16:55,
309,Leavitt St & Armitage Ave,Chicago,41.917805,-87.682437,11,9/19/2013 17:19,
310,Damen Ave & Charleston St,Chicago,41.920082,-87.677855,11,9/19/2013 17:59,
311,Leavitt St & Lawrence Ave,Chicago,41.968885,-87.684001,19,9/20/2013 9:23,
312,Clarendon Ave & Gordon Ter,Chicago,41.957879,-87.649519,15,9/20/2013 9:45,
313,Lakeview Ave & Fullerton Pkwy,Chicago,41.925858,-87.638973,19,9/20/2013 10:42,
314,Ravenswood Ave & Berteau Ave,Chicago,41.957921,-87.673567,15,9/20/2013 11:56,
315,Elston Ave & Wabansia Ave,Chicago,41.912919,-87.664169,23,9/20/2013 12:38,
316,Damen Ave & Sunnyside Ave,Chicago,41.96325,-87.679258,19,9/20/2013 14:22,
317,Wood St & Taylor St,Chicago,41.869154,-87.671045,23,9/20/2013 14:44,
318,Southport Ave & Irving Park Rd,Chicago,41.954177,-87.664358,15,9/20/2013 14:56,
319,Greenview Ave & Diversey Pkwy,Chicago,41.932595,-87.665939,15,9/20/2013 15:20,
320,Loomis St & Lexington St,Chicago,41.872187,-87.661501,19,9/20/2013 16:26,
321,Wabash Ave & 9th St,Chicago,41.870769,-87.625734,19,9/20/2013 16:37,
322,Kimbark Ave & 53rd St,Chicago,41.799568,-87.594747,19,9/20/2013 16:51,
323,Sheridan Rd & Lawrence Ave,Chicago,41.969517,-87.654691,15,9/21/2013 11:30,
